,wrapperType,artistId,collectionId,artistName,collectionName,collectionCensoredName,artistViewUrl,collectionViewUrl,artworkUrl60,artworkUrl100,collectionPrice,collectionExplicitness,trackCount,country,currency,releaseDate,primaryGenreName,previewUrl,description,kind,trackId,trackName,trackCensoredName,trackViewUrl,artworkUrl30,trackPrice,trackExplicitness,discCount,discNumber,trackNumber,trackTimeMillis,isStreamable,copyright,contentAdvisoryRating,collectionArtistName,collectionArtistId
78,track,136975,1440833098,The Beatles,1,1,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/hey-jude/1440833098?i=1440834224&uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/100x100bb.jpg,12.99,notExplicit,27,USA,USD,1968-08-26T12:00:00Z,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/f5/0d/2c/f50d2cbb-de63-cd30-fc96-d38eed2a832d/mzaf_7045571633659763181.plus.aac.p.m4a,,song,1440834224.0,Hey Jude,Hey Jude,https://music.apple.com/us/album/hey-jude/1440833098?i=1440834224&uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/30x30bb.jpg,1.29,notExplicit,1.0,1.0,21.0,425653.0,True,,,,
79,track,136975,1440833098,The Beatles,1,1,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/all-you-need-is-love/1440833098?i=1440833920&uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/100x100bb.jpg,12.99,notExplicit,27,USA,USD,1967-07-07T12:00:00Z,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/5b/b6/05/5bb60541-9440-a440-4c6f-8a741af4e58c/mzaf_1368240216204332033.plus.aac.p.m4a,,song,1440833920.0,All You Need Is Love,All You Need Is Love,https://music.apple.com/us/album/all-you-need-is-love/1440833098?i=1440833920&uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/30x30bb.jpg,-1.0,notExplicit,1.0,1.0,18.0,227760.0,True,,,,
80,track,136975,1440833098,The Beatles,1,1,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/eleanor-rigby/1440833098?i=1440833905&uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/100x100bb.jpg,12.99,notExplicit,27,USA,USD,1966-08-05T12:00:00Z,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/4c/3c/b5/4c3cb538-4333-f481-d0f8-f247c4fa07e7/mzaf_10541066189005546118.plus.aac.p.m4a,,song,1440833905.0,Eleanor Rigby,Eleanor Rigby,https://music.apple.com/us/album/eleanor-rigby/1440833098?i=1440833905&uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/30x30bb.jpg,1.29,notExplicit,1.0,1.0,16.0,125867.0,True,,,,
81,track,136975,1441132965,The Beatles,The Beatles 1962-1966 (The Red Album),The Beatles 1962-1966 (The Red Album),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/ticket-to-ride/1441132965?i=1441133494&uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/0e/51/1f/0e511f23-9624-588a-33be-93e074b99566/00602567725527.rgb.jpg/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/0e/51/1f/0e511f23-9624-588a-33be-93e074b99566/00602567725527.rgb.jpg/100x100bb.jpg,19.99,notExplicit,13,USA,USD,1965-04-09T12:00:00Z,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/48/ea/38/48ea38f1-ea66-25f7-d4f1-4944f17cb8df/mzaf_13506188897835080414.plus.aac.p.m4a,,song,1441133494.0,Ticket to Ride,Ticket to Ride,https://music.apple.com/us/album/ticket-to-ride/1441132965?i=1441133494&uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/0e/51/1f/0e511f23-9624-588a-33be-93e074b99566/00602567725527.rgb.jpg/30x30bb.jpg,1.29,notExplicit,2.0,1.0,12.0,191160.0,True,,,,
82,track,136975,1440833098,The Beatles,1,1,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/let-it-be/1440833098?i=1440834249&uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/100x100bb.jpg,12.99,notExplicit,27,USA,USD,1970-03-06T12:00:00Z,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/69/2e/f9/692ef994-8c57-9ad6-9658-a77ee667675d/mzaf_15182528118787126460.plus.aac.p.m4a,,song,1440834249.0,Let It Be,Let It Be,https://music.apple.com/us/album/let-it-be/1440833098?i=1440834249&uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/30x30bb.jpg,1.29,notExplicit,1.0,1.0,26.0,230440.0,True,,,,
83,track,136975,1441133100,The Beatles,The Beatles 1967-1970 (The Blue Album),The Beatles 1967-1970 (The Blue Album),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/old-brown-shoe/1441133100?i=1441133288&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/a6/8b/65/a68b657c-cac6-68e6-3bde-b79d58fbc795/18UMGIM30762.rgb.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/a6/8b/65/a68b657c-cac6-68e6-3bde-b79d58fbc795/18UMGIM30762.rgb.jpg/100x100bb.jpg,19.99,notExplicit,14,USA,USD,1969-05-30T12:00:00Z,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/05/07/a4/0507a4fa-fd9e-eb9c-e238-f6b9e781b45c/mzaf_15822900387773831184.plus.aac.p.m4a,,song,1441133288.0,Old Brown Shoe,Old Brown Shoe,https://music.apple.com/us/album/old-brown-shoe/1441133100?i=1441133288&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/a6/8b/65/a68b657c-cac6-68e6-3bde-b79d58fbc795/18UMGIM30762.rgb.jpg/30x30bb.jpg,1.29,notExplicit,2.0,2.0,7.0,201133.0,True,,,,
84,track,136975,1440833098,The Beatles,1,1,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/help/1440833098?i=1440833560&uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/100x100bb.jpg,12.99,notExplicit,27,USA,USD,1965-07-19T12:00:00Z,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/ae/50/91/ae509134-ee66-29d8-70ec-fd08f1a4829b/mzaf_18093400216129587785.plus.aac.p.m4a,,song,1440833560.0,Help!,Help!,https://music.apple.com/us/album/help/1440833098?i=1440833560&uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/30x30bb.jpg,1.29,notExplicit,1.0,1.0,10.0,139240.0,True,,,,
85,track,136975,1440833098,The Beatles,1,1,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/yellow-submarine/1440833098?i=1440833902&uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/100x100bb.jpg,12.99,notExplicit,27,USA,USD,1966-08-05T12:00:00Z,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/b0/48/93/b0489327-5c04-8eca-7de6-8c622205dc26/mzaf_13059296023049924882.plus.aac.p.m4a,,song,1440833902.0,Yellow Submarine,Yellow Submarine,https://music.apple.com/us/album/yellow-submarine/1440833098?i=1440833902&uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/30x30bb.jpg,1.29,notExplicit,1.0,1.0,15.0,158800.0,True,,,,
86,track,136975,1441132965,The Beatles,The Beatles 1962-1966 (The Red Album),The Beatles 1962-1966 (The Red Album),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/all-my-loving/1441132965?i=1441133350&uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/0e/51/1f/0e511f23-9624-588a-33be-93e074b99566/00602567725527.rgb.jpg/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/0e/51/1f/0e511f23-9624-588a-33be-93e074b99566/00602567725527.rgb.jpg/100x100bb.jpg,19.99,notExplicit,13,USA,USD,1963-11-22T12:00:00Z,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/ab/4d/36/ab4d366a-3176-4a6a-2f64-f99e9cfd15a9/mzaf_13271234108591818499.plus.aac.p.m4a,,song,1441133350.0,All My Loving,All My Loving,https://music.apple.com/us/album/all-my-loving/1441132965?i=1441133350&uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/0e/51/1f/0e511f23-9624-588a-33be-93e074b99566/00602567725527.rgb.jpg/30x30bb.jpg,1.29,notExplicit,2.0,1.0,6.0,129227.0,True,,,,
87,track,136975,1441132965,The Beatles,The Beatles 1962-1966 (The Red Album),The Beatles 1962-1966 (The Red Album),https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/and-i-love-her/1441132965?i=1441133484&uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/0e/51/1f/0e511f23-9624-588a-33be-93e074b99566/00602567725527.rgb.jpg/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/0e/51/1f/0e511f23-9624-588a-33be-93e074b99566/00602567725527.rgb.jpg/100x100bb.jpg,19.99,notExplicit,13,USA,USD,1964-07-10T12:00:00Z,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a9/21/a6/a921a6e2-8005-6298-4b98-577d09132850/mzaf_9887989918489043265.plus.aac.p.m4a,,song,1441133484.0,And I Love Her,And I Love Her,https://music.apple.com/us/album/and-i-love-her/1441132965?i=1441133484&uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music124/v4/0e/51/1f/0e511f23-9624-588a-33be-93e074b99566/00602567725527.rgb.jpg/30x30bb.jpg,1.29,notExplicit,2.0,1.0,9.0,151413.0,True,,,,
88,track,136975,1440833098,The Beatles,1,1,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/hello-goodbye/1440833098?i=1440834221&uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/100x100bb.jpg,12.99,notExplicit,27,USA,USD,1967-11-24T12:00:00Z,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/f1/64/3f/f1643f9b-0462-4a89-4d2f-f883a44072bc/mzaf_9707137836470875066.plus.aac.p.m4a,,song,1440834221.0,"Hello, Goodbye","Hello, Goodbye",https://music.apple.com/us/album/hello-goodbye/1440833098?i=1440834221&uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/30x30bb.jpg,1.29,notExplicit,1.0,1.0,19.0,207787.0,True,,,,
